"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
843,"NCT00401778","Trial of RAD001 in Patients With Operable Non-Small Cell Lung Cancer (NSCLC)",,"Completed","Has Results","Lung Cancer","Drug: RAD001","Clinical Response as Assessed Metabolically by Changes in Positron Emission Tomography (PET) Scan Between Baseline and Immediately Prior to Surgery.|Effects of RAD001 on the Regulation of Key Proteins Involved With the Mammalian Target of Rapamycin (mTOR) Axis in Tumor Specimens and Buccal Mucosa in Patients With Operable Non-small Cell Lung Cancer (NSCLC).|Inhibition of Proliferation (Ki67) and Induction of Apoptosis (TUNEL Assay) in Tumor Specimens and Buccal Mucosa.|Safety and Tolerability of RAD001 as Pre-operative Therapy.|Duration of Hospital Stay Following Surgery.","Emory University","All","18 Years and older   (Adult, Older Adult)","Phase 1","33","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB00024810","November 2006","December 2013","December 2013","November 22, 2006","July 14, 2015","December 21, 2016","Emory University Winship Cancer Institute, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00401778"
844,"NCT00400374","Secondary Primary Tumor Prevention With EGFR, OSI-774, and Cyclooxygenase-2",,"Completed","No Results Available","Head and Neck Cancer","Drug: Erlotinib|Drug: Celecoxib","Define biologic dose of Erlotinib and Celecoxib in Erlotinib plus Celecoxib in patients with early stage (I/II) SCCHN. Improve overall survival rate by reducing SPTs and recurrence with combination of Erlotinib and Celecoxib.|Assess tolerability and toxicity associated with combination of Erlotinib and toxicity associated with combination of Erlotinib and Celecoxib for patients with early stage (I/II) SCCHN.","Emory University|Genentech, Inc.|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 1","10","Other|Industry|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","IRB00021851|5R01CA112643","August 2007","December 2012","November 2016","November 16, 2006","null","March 15, 2018","Emory University Winship Cancer Institute, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00400374"
845,"NCT00400205","Study of Induction Docetaxel, Cisplatin and 5-Fluorouracil",,"Terminated","Has Results","Squamous Cell Carcinoma|Oral Cancer","Drug: Docetaxel|Drug: Cisplatin|Drug: 5-fluorouracil","Number of Patients Who Had Response by RECIST Criteria (Response Evaluation Criteria in Solid Tumors)|Tumor Change by Baseline Acetylated Tubulin Expression Score","Emory University|Sanofi","All","18 Years and older   (Adult, Older Adult)","Phase 2","14","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","0414-2006","August 2006","September 2009","September 2009","November 16, 2006","January 4, 2011","November 6, 2017","Emory University Winship Cancer Institute, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00400205"
846,"NCT00399880","Improving Medication Adherence Through Graphically Enhanced Interventions in Acute Coronary Syndromes","IMAGE-ACS","Completed","Has Results","Acute Coronary Syndrome (ACS)","Behavioral: Health literacy intervention","Adherence to Refills and Medications Scale (ARMS)|Self-Efficacy for Appropriate Medication Use Scale (SEAMS)","Vanderbilt University Medical Center|National Heart, Lung, and Blood Institute (NHLBI)|American Society of Health-System Pharmacists Research and Education Foundation","All","18 Years and older   (Adult, Older Adult)","Not Applicable","130","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","00000116|K23HL077597","November 2006","August 2008","August 2008","November 15, 2006","September 25, 2017","September 25, 2017","Grady Memorial Hospital, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00399880"
847,"NCT00399555","Neurodevelopmental Outcomes in Hypoplastic Left Heart Syndrome",,"Completed","No Results Available","Congenital Heart Disease","","To describe the developmental outcome of school-age children with HLHS who have undergone the Norwood procedure at our institution after January 1, 2001|Determine whether there is a correlation between cerebral oxygen levels as measured by NIRS and subsequent developmental outcome","Emory University","All","29 Months to 6 Years   (Child)","","28","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","IRB00000275","November 2006","July 2009","July 2009","November 15, 2006","null","November 27, 2013","Children's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00399555"
848,"NCT00385151","To Compare the Ischemic Pre-conditioning and Post-conditioning on Reperfusion Injury in Humans.",,"Completed","No Results Available","Endothelial Dysfunction","","","Emory University","All","15 Years to 35 Years   (Child, Adult)","","20","Other","Observational","Time Perspective: Prospective","0920-2004","May 2006","null","August 2006","October 6, 2006","null","November 18, 2013","Emory University Hospital, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00385151"
849,"NCT00385112","Follow Up on Freestyle Valves in Children",,"Completed","No Results Available","Right Ventricle|Pulmonary Valve Stenosis|Pulmonary Valve Atresia","Procedure: Echocardiogram","We hypothesize that this Medtronic Freestyle® porcine aortic root valve has good long term hemodynamic performance and longevity.","Emory University","All","8 Years to 40 Years   (Child, Adult)","","98","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","IRB00000124|06-138","November 2006","December 2016","December 2016","October 6, 2006","null","January 26, 2017","Children's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00385112"
850,"NCT00384761","Predictive Medicine Research",,"Completed","No Results Available","Atherosclerosis, Endothelial Dysfunction","","Oxidative Stress","Emory University|The Robert W. Woodruff Foundation","All","20 Years to 90 Years   (Adult, Older Adult)","","223","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","IRB00024767a|PreMed 6012|1190-2005","March 2006","October 2010","October 2010","October 6, 2006","null","November 18, 2013","Emory University Hospital, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00384761"
851,"NCT00384241","Evaluating the Relationship Between Inflammation, Genetics, and Stress in the Development of High Blood Pressure",,"Completed","Has Results","Hypertension","Behavioral: Induced Stress|Procedure: Buccal Swab","Change in Urinary Sodium Excretion (UNaV)|The Effect of Change in Stress Induced IL-6 on Systolic Blood Pressure","Augusta University|National Heart, Lung, and Blood Institute (NHLBI)","All","15 Years to 19 Years   (Child, Adult)","","1099","Other|NIH","Observational","Observational Model: Cohort|Time Perspective: Retrospective","1359|R21HL085817|1R21HL085817-01","August 2006","July 2009","July 2009","October 6, 2006","June 3, 2015","June 3, 2015","Medical College of Georgia, Georgia Regents University, Augusta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00384241"
852,"NCT00384163","Adult Pulmonary Valve Replacement: A Simple and Reproducible Technique",,"Terminated","No Results Available","Congenital Disorders","","","Emory University","All","18 Years and older   (Adult, Older Adult)","","50","Other","Observational","Time Perspective: Retrospective","0453-2006","August 2007","August 2007","August 2007","October 5, 2006","null","November 26, 2013","Emory University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00384163"
853,"NCT00382928","Automatic External Defibrillation Monitoring in Cardiac Arrest",,"Completed","Has Results","Death, Sudden, Cardiac|Ventricular Fibrillation|Tachycardia, Ventricular","Device: Defibrillation of pulseless VT/VF by AECD","Number of Participants Without Defibrillation|Frequency of Abnormal Rhythms Monitored by the AECD|Survival to Discharge|Cerebral Performance at Discharge","Atlanta Research and Education Foundation|Emory University","All","18 Years and older   (Adult, Older Adult)","Phase 1","192","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1216-2004","October 2006","September 2009","September 2009","October 2, 2006","July 1, 2014","July 15, 2015","Atlanta Veterans Adminstration Medical Center, Decatur, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00382928"
854,"NCT00379392","Mental Imagery to Reduce Motor Deficits in Stroke",,"Completed","No Results Available","Stroke","Behavioral: Mental Imagery only|Procedure: Mental Imagery and Constraint induced therapy","Wolf Motor Function Test|Fugl-Meyer Motor Assessment Test|Movement Imagery Questionnaire|Vividness of Movement Imagery Questionnaire|Center for Epidemiologic Studies Depression scale|Stroke Impact Scale|Sirigu's break test","Emory University","All","21 Years and older   (Adult, Older Adult)","Phase 1","20","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","338-2003|R21AT002138-03","January 2003","July 2008","August 2011","September 21, 2006","null","April 14, 2015","Emory University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00379392"
855,"NCT00378924","Cardiology Biobank Registry",,"Recruiting","No Results Available","Cardiovascular Disease","","All cause death|Cardiovascular death|Re-hospitalization for heart failure","Emory University","All","20 Years and older   (Adult, Older Adult)","","12000","Other","Observational","Observational Model: Ecologic or Community|Time Perspective: Cross-Sectional","IRB00000343|950-2003","December 2003","March 2020","April 2020","September 21, 2006","null","August 1, 2018","Emory School Of Medicine, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00378924"
856,"NCT00374608","Exercise in Chronically Paced Children",,"Completed","No Results Available","Congenital Diseases|Complete Heart Block|Pacemaker","","","Emory University|Children's Healthcare of Atlanta","All","10 Years to 21 Years   (Child, Adult)","","25","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","291-2006","January 2007","July 2009","July 2009","September 11, 2006","null","June 1, 2012","Children's Healthcare of Atlanta - Egleston, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00374608"
857,"NCT00372606","An Evaluation of a Culturally- and Linguistically-Appropriate Online Diet Program for U.S Hispanics",,"Completed","No Results Available","Obesity","Behavioral: Online MiDieta Diet and Weight Management Program for Hispanics","Weight loss|Dietary behaviors|Fitness activities|Program acceptability by users","Robert Wood Johnson Foundation","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","1000","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single|Primary Purpose: Prevention","51759","September 2004","February 2009","February 2009","September 7, 2006","null","October 7, 2009","DrTango, Inc., Roswell, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00372606"
858,"NCT00367354","Respiratory Motion Analysis in Children With MRI",,"Terminated","No Results Available","Congenital Disorders","","cardiac motion reduction in cardiac MRI images","Emory University","All","Child, Adult, Older Adult","","6","Other","Observational","Observational Model: Case Control|Time Perspective: Prospective","IRB00041134","August 2006","June 2010","July 2011","August 22, 2006","null","December 9, 2014","Emory University Hospital, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00367354"
859,"NCT00367341","Imaging Predictors of Treatment Response in Depression",,"Completed","Has Results","Major Depressive Disorder","Drug: escitalopram|Behavioral: Cognitive Behavioral Therapy (CBT)","Remission Defined as Hamilton Depression Rating Scale-17 Score of Less Than or Equal to 7 at 12 Weeks|Response Defined as 50% Change in Hamilton Depression Rating Scale-17 Score at 12 Weeks","Emory University|National Institute of Mental Health (NIMH)","All","21 Years to 60 Years   (Adult)","Not Applicable","82","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB00026176","August 2006","August 2011","July 2013","August 22, 2006","January 9, 2014","January 9, 2014","Emory University School of Medicine, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00367341"
860,"NCT00367003","Deep Brain Stimulation for Treatment Resistant Depression",,"Recruiting","No Results Available","Major Depressive Disorder","Device: Deep Brain Stimulator, implantable","decrease in Hamilton Depression Rating Scale-24 score of at least 50% at 6 months open treatment","Emory University|The Dana Foundation","All","18 Years to 70 Years   (Adult, Older Adult)","Not Applicable","20","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB00024883","September 2006","September 2018","September 2018","August 22, 2006","null","November 6, 2017","Emory University School of Medicine, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00367003"
861,"NCT00366886","Patients With NMDA Biomarker Data Following Cardiac Surgery",,"Terminated","No Results Available","Congenital Disorders","","","Children's Healthcare of Atlanta","All","up to 18 Years   (Child, Adult)","","22","Other","Observational","Observational Model: Defined Population|Observational Model: Natural History|Time Perspective: Longitudinal|Time Perspective: Retrospective","06-140","null","null","July 2006","August 21, 2006","null","June 13, 2007","Children's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00366886"
862,"NCT00366847","Computer Modeling of Congenital Heart Disease",,"Completed","No Results Available","Congenital Disorders","","RV Function","Children's Healthcare of Atlanta","All","up to 18 Years   (Child, Adult)","","50","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","06-149","June 2001","April 2012","April 2012","August 21, 2006","null","May 8, 2014","Children's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00366847"
863,"NCT00366821","Retrospective Review of the Outcomes of Newborns With Genetic Abnormalities",,"Completed","No Results Available","Congenital Disorders","","We wish to examine the outcomes following cardiac surgery in newborns with genetic abnormalities compared to those newborns without genetic abnormalities.","Children's Healthcare of Atlanta","All","up to 30 Days   (Child)","","1000","Other","Observational","Time Perspective: Retrospective","06-141","January 2002","November 2014","November 2014","August 21, 2006","null","December 2, 2014","Children's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00366821"
864,"NCT00366561","Neonates With Neurological Complications",,"Completed","No Results Available","Congenital Disorders","","The purpose of this study was to examine short term outcomes following cardiac surgery in premature neonates.","Children's Healthcare of Atlanta","All","up to 30 Days   (Child)","","810","Other","Observational","Time Perspective: Retrospective","06-139","January 2002","April 2010","April 2010","August 21, 2006","null","December 2, 2014","Children's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00366561"
865,"NCT00366314","Frequency of Accessing Central Lines for Blood Samples",,"Terminated","No Results Available","Congenital Disorders","","","Children's Healthcare of Atlanta","All","up to 18 Years   (Child, Adult)","","320","Other","Observational","Observational Model: Defined Population|Observational Model: Natural History|Time Perspective: Longitudinal|Time Perspective: Retrospective","06-142","June 2003","null","null","August 21, 2006","null","June 13, 2007","Children's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00366314"
866,"NCT00362375","Evaluation of the Healthy Love Workshop, an HIV Prevention Intervention for African American Women",,"Completed","Has Results","HIV Infections|Sexually Transmitted Infections","Behavioral: Healthy Love Workshop|Behavioral: HIV/AIDS 101 Workshop","Condom Use During Vaginal Sex With Any Male Partner|HIV Testing and Receipt of Results|HIV Knowledge|Condom Use Self-efficacy|Knowledge of HIV Test","Centers for Disease Control and Prevention|SisterLove, Inc.","Female","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","313","U.S. Fed|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","CDC-NCHSTP-1927-4768|U65/CCU424514-02","May 2006","April 2008","April 2008","August 10, 2006","May 14, 2010","May 14, 2010","SisterLove, Inc., Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00362375"
867,"NCT00360256","Genetic Study of Liver Enzymes in Patients With Side Effects From Antidepressants",,"Completed","No Results Available","Major Depressive Disorder","","Cytochrome P450 2D6 and 2C19 genotype|Drug tolerability","Augusta University|Hoffmann-La Roche","All","18 Years to 65 Years   (Adult, Older Adult)","","46","Other|Industry","Observational","Time Perspective: Retrospective","CYP450 Antidepressant study|HAC File #: 06-04-278","June 2006","December 2007","December 2007","August 4, 2006","null","April 19, 2012","Medical College of Georgia, Dept. of Psychiatry and Health Behavior, Augusta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00360256"
868,"NCT00359099","Hepatitis C in Adults Who Underwent Congenital Heart Surgery Before Screening",,"Terminated","No Results Available","Congenital Heart Disease","","","Emory University","All","18 Years and older   (Adult, Older Adult)","","1000","Other","Observational","Time Perspective: Retrospective","0762-2006","January 1980","null","July 2006","August 1, 2006","null","November 27, 2013","Emory University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00359099"
869,"NCT00356278","D-cycloserine and Virtual Reality Exposure to Treat Iraq War Veterans With PTSD",,"Completed","Has Results","Stress Disorder, Post Traumatic","Drug: D-Cycloserine|Drug: Alprazolam|Behavioral: Virtual Reality Exposure Therapy|Drug: Placebo","Clinician-Administered PTSD Scale (CAPS)|PTSD Symptom Scale Self-Report","Emory University|National Institute of Mental Health (NIMH)","All","21 Years to 65 Years   (Adult, Older Adult)","Phase 2|Phase 3","156","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IRB00024846|DATR AD-TS|R01MH070880","September 2006","June 2014","June 2014","July 25, 2006","November 19, 2014","January 8, 2016","Emory University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00356278"
870,"NCT00352885","Effectiveness of Escitalopram in Preventing or Reducing Depressive Symptoms in People Receiving Interleukin-2 Treatment",,"Completed","Has Results","Depression","Drug: Escitalopram|Drug: Placebo|Drug: IL-2","Number of IL-2 Treatments Tolerated|Plasma Concentrations of Adrenocorticotropic Hormone (ACTH)|Plasma Concentrations of Interleukin 6 (IL-6)|Plasma Concentrations of Cortisol|Hamilton Depression Rating Scale (HAM-D) Score|Genetic Polymorphisms","Emory University|National Institute of Mental Health (NIMH)","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 4","20","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","IRB00024759|R01MH071580|DATR A3-NSS","October 6, 2006","May 17, 2010","May 17, 2010","July 17, 2006","June 27, 2014","September 14, 2018","Winship Cancer Institute, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00352885"
871,"NCT00352196","Janssen Asperger's MRS (Magnetic Resonance Spectroscopy Risperidone Study",,"Completed","No Results Available","Asperger's Disorder","Drug: Risperidone|Other: Magnetic Resonance Spectroscopy","Chang in the Scale for the Assessment of Negative Symptoms (SANS)|Change in Positive and Negative Symptom Scale (PANNS)|Change in Brief Psychiatric Rating Scale (BPRS)|Change in Montgomery Asberg Rating Scale (MADRS)|Change in Global Assessment Scale (GAS)|Change in Abnormal Involuntary Movement Scale (AIMS)|Change in Neurocognitive test battery","Augusta University|Ortho-McNeil Janssen Scientific Affairs, LLC","All","6 Years and older   (Child, Adult, Older Adult)","Phase 4","23","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","RIS-EMR-4026|MCG HAC File #01-09-063","November 2001","May 2007","May 2007","July 14, 2006","null","January 14, 2015","Medical College of Georgia, Dept. of Psychiatry, Augusta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00352196"
872,"NCT00348439","Study to Evaluate Plasmin for the Creation of a Posterior Vitreous Detachment",,"Terminated","No Results Available","Disorders Caused by Vitreo-retinal Traction.","Drug: Plasmin|Drug: Vehicle","Presence of a Grade A Posterior Vitreous Detachment (PVD)","Bausch & Lomb Incorporated","All","18 Years and older   (Adult, Older Adult)","Phase 2","29","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","437","April 2006","August 2007","August 2007","July 4, 2006","null","December 8, 2011","Emory University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00348439"
873,"NCT00344994","SWITCH:Restless Legs Patients Switched to Ropinirole From Pramipexole",,"Completed","No Results Available","Restless Legs Syndrome","Drug: pramipexole","CGI-S/CGI-I: (Visits 1, 2, and 4)|IRLS: (Visits 1, 2, and 4)|Epworth Sleepiness Scale: (Visits 1, 2, and 4)|ECG: An ""ECG"" or ""electrocardiogram"" is a test that measures the electrical activity of the heart. (Visits 1, 2, and 4)","Augusta University|GlaxoSmithKline","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 4","20","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","gskswitch","May 2006","September 2007","April 2010","June 27, 2006","null","May 13, 2011","Medical College of Georgia, Augusta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00344994"
874,"NCT00344968","Fluocinolone Acetonide Implant Compared to Sham Injection in Patients With Diabetic Macular Edema","FAME","Completed","Has Results","Diabetic Macular Edema","Drug: fluocinolone acetonide|Drug: Fluocinolone Acetonide|Procedure: Standard of care laser photocoagulation","Visual Acuity|Retinal Thickness","Alimera Sciences","All","18 Years and older   (Adult, Older Adult)","Phase 3","956","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","C-01-05-001","September 2007","December 2009","December 2010","June 27, 2006","May 7, 2014","May 7, 2014","Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00344968"
875,"NCT00342394","Fungicide Exposure Assessment Among Apple and Peach Farmers in the Argicultural Health Study",,"Completed","No Results Available","Pesticides|Occupational Exposure","","","National Cancer Institute (NCI)|Centers for Disease Control and Prevention|National Institute for Occupational Safety and Health (NIOSH/CDC)|National Institutes of Health Clinical Center (CC)","All","Child, Adult, Older Adult","","75","NIH|U.S. Fed","Observational","","999902049|02-C-N049","November 14, 2001","null","May 1, 2013","June 21, 2006","null","April 5, 2018","National Institute for Occupational Safety and Health, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00342394"
876,"NCT00336570","Predictive Medicine Research. (PRE MED)",,"Completed","No Results Available","Cardiovascular Diseases","","","Emory University|The Robert W. Woodruff Foundation","All","30 Years to 90 Years   (Adult, Older Adult)","","288","Other","Observational","Observational Model: Ecologic or Community|Time Perspective: Cross-Sectional","IRB00024767|6012","February 2006","null","October 2010","June 14, 2006","null","November 18, 2013","Emory University Hospital, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00336570"
877,"NCT00333879","Virtual Reality Mobility Training System for Veterans With Vision Loss",,"Completed","Has Results","Blindness","Device: Virtual Sound System","Accuracy in Judging Direction of Traffic at Traffic Intersection|Accuracy in Selecting Appropriate Time to Cross Street","US Department of Veterans Affairs|VA Office of Research and Development","All","18 Years and older   (Adult, Older Adult)","Not Applicable","4","U.S. Fed","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)","C4188-R","March 2009","March 2009","April 2009","June 6, 2006","November 19, 2013","December 16, 2013","Atlanta VA Medical and Rehab Center, Decatur, Decatur, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00333879"
878,"NCT00330811","B-type Natriuretic Peptide in the Non-Cardiac Pediatric Patient",,"Completed","No Results Available","Heart Diseases","","","Emory University","All","up to 5 Years   (Child)","","87","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","1409-2005","April 2006","January 2007","May 2007","May 29, 2006","null","December 2, 2016","Children's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00330811"
879,"NCT00328185","Allograft Fibrosis Following Pediatric Cardiac Transplantation",,"Terminated","No Results Available","Children Who Underwent Heart Transplantation Prior to Age 18|Received Care at Children's Healthcare of Atlanta","","","Children's Healthcare of Atlanta","All","up to 18 Years   (Child, Adult)","","100","Other","Observational","Time Perspective: Retrospective","05-217","January 2006","null","December 2006","May 19, 2006","null","March 16, 2012","Children's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00328185"
880,"NCT00328146","Re-operative Surgery in Children:A Technique for Sternal Re-Entry",,"Completed","No Results Available","Congenital Disorders","Other: Observation of sternal reentry","Present an effective techniqe for sternal re-entry in children.","Children's Healthcare of Atlanta","All","up to 18 Years   (Child, Adult)","","802","Other","Observational","Observational Model: Other|Time Perspective: Retrospective","06-105","February 2001","October 2009","October 2009","May 19, 2006","null","March 1, 2017","Children's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00328146"
881,"NCT00327977","Hypoxemia in Infants After Palliative Surgery",,"Completed","No Results Available","Congenital Disorders","","Analyze the growth and development of infants with post-surgical palliation in infancy and assess variations in oxygenation saturations and hemodynamics as they relate to weight gain, linear growth and increases in head circumference.","Children's Healthcare of Atlanta","All","up to 3 Years   (Child)","","375","Other","Observational","Time Perspective: Retrospective","06-128","January 2001","February 2011","February 2011","May 19, 2006","null","December 2, 2014","Children's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00327977"
882,"NCT00327951","Infant Weight Gain With Trisomy 21 and CAVC",,"Terminated","No Results Available","Congenital Disorders","","","Children's Healthcare of Atlanta","All","up to 1 Year   (Child)","","46","Other","Observational","Time Perspective: Retrospective","06-109","January 2001","March 2006","February 2008","May 19, 2006","null","March 16, 2012","Children's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00327951"
883,"NCT00327899","Home Inotropic Therapy in Children",,"Terminated","No Results Available","Congenital Disorders","","","Children's Healthcare of Atlanta","All","up to 18 Years   (Child, Adult)","","13","Other","Observational","Time Perspective: Retrospective","06-129","March 2006","null","May 2007","May 19, 2006","null","November 21, 2011","Children's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00327899"
884,"NCT00327886","Managing Cyanosis Following Bidirectional Glenn Operation",,"Terminated","No Results Available","Congenital Disorders","","","Children's Healthcare of Atlanta","All","up to 1 Year   (Child)","","150","Other","Observational","Observational Model: Defined Population|Observational Model: Natural History|Time Perspective: Longitudinal|Time Perspective: Retrospective","06-029","February 2006","null","February 2006","May 19, 2006","null","June 13, 2007","Children's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00327886"
885,"NCT00327795","Surgical Outcomes in Pediatric Patients With Coarctation and VSD",,"Terminated","No Results Available","Diagnosis of Coarctation of the Aorta and VSD|Surgical Repair at CHOA|Between January 1, 2002 and December 31, 2005","","","Children's Healthcare of Atlanta","All","Child, Adult, Older Adult","","32","Other","Observational","Observational Model: Case Control|Time Perspective: Retrospective","06-010","January 2006","null","November 2007","May 19, 2006","null","March 16, 2012","Children's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00327795"
886,"NCT00327782","Palliative Care of Children With End-Stage Heart Failure",,"Terminated","No Results Available","Congenital Disorders","","","Children's Healthcare of Atlanta","All","1 Year to 18 Years   (Child, Adult)","","null","Other","Observational","Observational Model: Defined Population|Observational Model: Natural History|Time Perspective: Longitudinal|Time Perspective: Retrospective","06-114","January 1995","null","April 2006","May 19, 2006","null","May 4, 2007","Children's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00327782"
887,"NCT00321503","Study of an Oropharyngeal Aerosolized pH Probe for Diagnosing Laryngopharyngeal Reflux (LPR)",,"Completed","No Results Available","Laryngopharyngeal Reflux","","","Emory University|AstraZeneca|Respiratory Technology Corporation","All","18 Years and older   (Adult, Older Adult)","","45","Other|Industry","Observational","Time Perspective: Prospective","1345-2005|DX-1 for LPR","May 2006","May 2007","May 2007","May 3, 2006","null","December 9, 2013","Emory Voice Center, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00321503"
